Jeg er i fængslet.	I'm at the prison.
Du er altid uenig med mig.	You always disagree with me.
Min menstruationscyklus er uregelmæssig.	My menstrual cycle is irregular.
Vi har en hund, en kat og tre kanariefugle.	We have a dog, a cat and three canaries.
Tom åbnede ikke øjnene.	Tom didn't open his eyes.
Han åbnede buret og slap fuglene fri.	He opened the cage and set the birds free.
Bomuldsvanter vil forhindre babyen i at kradse sig i ansigtet.	Cotton mittens will prevent the baby from scratching her own face.
Hvem tog pengene?	Who took the money?
Bussen er lige kørt.	The bus has just left.
Min mobil er handy.	My mobile phone is handy.
Gå ikke så hurtigt! Jeg kan ikke følge med.	Don't walk so fast! I can't keep up with you.
Hvad er der i vejen med dig?	What's the matter with you?
Hvad er der i kaffen?	What's in the coffee?
Vi har ris.	We have rice.
Ikke tale om!	No way!
Den er helt ny.	It's brand new.
Jeg blev meget syg.	I became very ill.
I den store have stod æbletræerne i blomst, og de duftende sirener bøjede deres lange grønne grene ned imod de bugtede kanaler.	The apple-trees were in full blossom, and the fragrant elders bent their long green branches down to the stream which wound round a smooth lawn.
Har vi et problem?	Do we have a problem?
Tom arbejder på et lokalt hospital.	Tom works at a local hospital.
Vi kom for sent til flyet på grund af en trafikprop.	We missed our plane because of the traffic jam.
Han lavede den samme fejl igen.	He repeated the same mistake.
Hvor bor han?	Where does he live?
Hvad drømte du om da jeg vækkede dig?	What were you dreaming about when I woke you?
Tirsdag var det rigtignok koldt.	Tuesday was certainly cold.
Jeg drak øl i går aftes.	I drank beer last night.
Vi tager ikke imod drikkepenge her.	We do not accept tips.
Du bør virkelig drikke mindre kaffe.	You should really drink less coffee.
Jeg mente det ikke.	I didn't mean it.
Algeriet ligger i Nordafrika.	Algeria is situated in North Africa.
Hun smilede.	She smiled.
De behandler mig som et barn.	They are treating me like a child.
Jeg har lige så mange bøger som Tom har.	I have the same number of books as Tom has.
Hun er andetårsstuderende.	She is a sophomore.
Jeg kan lide at købe tøj.	I like to buy clothes.
Skål!	Cheers!
Han luftede sine tre hunde hver dag.	He walked his three dogs every day.
En dag modtog Mary et dusin roser.	One day, Mary received a dozen roses.
De taler berbisk i denne provins.	They speak Berber in this province.
Gid mine forældre havde ladet være med at fortælle at jeg var et uheld.	I wish that my parents hadn't told me that I was a mistake.
Hej verden!	Hello, world!
Han tror det er umuligt for mig at bestige bjerget alene.	He thinks it impossible for me to climb the mountain alone.
Dette firma oprettede falske græsrodsbevægelser for at få det til at se ud som om almindelige borgere støttede dets projekt.	This company created fake grassroots organizations to make it look like ordinary citizens were supporting its project.
Må kraften være med dig!	May the Force be with you.
Jeg kan næsten ikke sove om natten.	I can scarcely sleep at night.
Hvad koster bukserne?	How much do the trousers cost?
Den eneste fisk Tom kan lide at spise, er laks.	The only fish Tom likes to eat is salmon.
Det er koldere i år end sidste år.	It is colder this year than last year.
Min sweater er lilla.	My sweater is purple.
Er vi alle her?	Are we all here?
Hvornår var du sidste gang fuld?	When was the last time you got drunk?
Hvilken en foretrækker du? Den her eller den der?	Which one do you prefer, this one or that one?
Der mangler en side.	There is a page missing.
Sami kan cykle.	Sami can ride a bike.
Rul dit højre ærme op.	Roll up your right sleeve.
En mand skal enten være skaldet eller have langt hår!	A man should either be bald or have long hair!
Jeg taler ungarsk.	I speak Hungarian.
Hvor meget har din nye computer kostet?	How much was your new computer?
Løven dræbte gazellen.	The lion killed the gazelle.
Denne bog er for vanskelig for mig at forstå.	This book is too difficult for me to understand.
Ved du, hvad der forårsagede problemet?	Do you know what caused the problem?
Hun er en smule bedugget.	She's a bit tipsy.
Giv mig tid.	Give me time.
Er faxen en moderne udgave af telegrafen?	Is the fax a modern form of the telegraph?
Jeg studerer på universitetet i Hyogo.	I am a student at Hyogo University.
Han fortsatte med at læse bogen.	He continued reading the book.
Denne sætning lyder naturligt, men den er ikke grammatisk korrekt.	This sentence sounds natural, but it's not grammatically correct.
Hej.	Hello.
Da jeg var dreng, stod jeg altid tidlig op.	When I was a boy, I always got up early.
Hvornår er der åbent i butikscentret?	What hours is the shopping center open?
Tom kommer ikke her mere.	Tom doesn't come here anymore.
Google ved ikke alt.	Google doesn't know everything.
For lang tid siden var der en bro her.	A long time ago, there was a bridge here.
Han så til højre og gik.	He looked right and left.
Algeriet skal modernisere sit uddannelsessystem.	Algeria needs to modernize its education system.
Tom har indtil nu været på hospitalet i tre uger.	Tom has been in the hospital for three weeks.
Tom sagde intet forkert.	Tom said nothing wrong.
Jeg ser stjernen.	I see the star.
Jeg har en ven, hvis far er lærer.	I have a friend whose father is a teacher.
Dette tv-apparat er både stort og dyrt.	That television is both big and expensive.
Papir er hvidt.	The paper is white.
Hvad tror du, er hændt Tom?	What do you think happened to Tom?
Jeg hjælper dig selvfølgelig.	I will help you, of course.
Jeg svømmede i søen.	I swam in the lake.
Tom og Mary åbnede deres julegaver.	Tom and Mary opened their Christmas presents.
Hvad betyder det?	What does that mean?
Hvad med 12:45?	How about 12:45?
Tom kan være skræmmende til tider.	Tom can be very scary sometimes.
Jeg venter her.	I'll wait here.
Fantasi er vigtigere end viden.	Imagination is more important than knowledge.
Dette værelse måler tolv fod gange fireogtyve fod.	This room is twelve feet by twenty-four feet.
Æbletræerne vil formentlig begynde at blomstre i næste uge.	The apple trees will probably start to blossom next week.
Penge ændrer folk.	Money changes people.
Han fangede kyllingen.	He caught the chicken.
Han er min stedbror.	He's my stepbrother.
Mælken smager surt.	The milk tastes sour.
Gaden var blokeret af en kæmpe lastbil.	The street was blocked by a huge truck.
Han skræller sit æble.	He peels his apple.
Hvad skal jeg gøre i mellemtiden?	What shall I do in the meantime?
Hvad vil du spørge mig om?	What is it you want to ask me?
Min far er stadig i Algeriet.	My dad is still in Algeria.
Fuglen er i sin rede.	The bird is in its nest.
Mit efternavn er Wang.	My surname is 'Wang.'
Jeg tror Tom har ledt efter dig.	I think Tom was looking for you.
Jeg havde ikke penge nok til at købe alt hvad du bad mig om at købe.	I didn't have enough money to buy everything you asked me to buy.
Alt er parat.	Everything is ready.
Jeg behøver ikke din hjælp.	I don't need your help.
Der var kun ét problem.	There was only one problem.
Han er en helt.	He is a hero.
Er hans far læge?	Is his father a doctor?
Vær venlig ikke at sende pakken endnu.	Please do not send the package yet.
Hun er miljøaktivist.	She's a tree hugger.
Hvem dræbte Tom?	Who killed Tom?
Tom var beruset og havde glemt hvor han havde parkeret sin bil.	Tom was drunk and forgot where he'd parked his car.
Vær så venlig at vække mig klokken seks.	Please wake me at six.
Det er forrykt af dig at sætte livet på spil.	It is crazy of you to put your life at risk.
Jeg taler kun fransk.	I can only speak French.
Uden at kende hendes telefonnummer, kunne jeg ikke ringe til hende.	Not knowing her telephone number, I couldn't call her.
Blondiner tjener 7% mere end kvinder med en anden hårfarve.	Blondes earn 7% more than women with any other hair color.
Forskere antager at omkring 100 millioner kometer kredser om Solen.	Scientists think that about 100 million comets orbit the Sun.
Facebook er blokeret i Kina.	Facebook is blocked in China.
Du lavede den samme fejl.	You made the same mistake.
Jeg havde mit bedste tøj på.	I wore my best clothes.
Du kan køre bil, ikke sandt?	You can drive a car, can't you?
Der bor mange rige mennesker i det her kvarter.	Many rich people live in this neighborhood.
Tal ikke med den fyr derovre.	Don't talk to that guy over there.
Snefnuggene blev større og større, til sidst så de ud, som store hvide høns.	The snow-flakes became larger and larger, till they appeared like great white chickens.
John har fem æbler.	John has five apples.
De er bevæbnede.	They're armed.
Der er kun to uger til jul.	Christmas is only two weeks off.
Han dutter ikke.	He is good for nothing.
Jeg skrev et brev på fransk.	I wrote a letter in French.
Jeg fandt det på loftet.	I found it in the attic.
Hvordan skete trafikulykken?	How did the traffic accident happen?
Tom drak en masse til festen og endte med at gøre sig selv til grin.	Tom drank a lot at the party and ended up making a fool of himself.
Jeg har hvid skjorte på til hverdag.	I wear white shirts on weekdays.
Han gik for cirka ti minutter siden.	He left about 10 minutes ago.
"Ræk mig saltet, tak." "Værsgo!"	"Pass me the salt, please." "Here you are."
Jeg går i skole på lørdag.	I go to school on Saturday.
De kommer ikke sammen.	They aren't dating.
Fodbold er en af min lillebrors fritidsinteresser.	Soccer is one of my little brother's hobbies.
Har I åbent i morgen?	Will you be open tomorrow?
Jeg købte en smartphone til min kone.	I bought a smartphone for my wife.
Hvem taler jeg med?	With whom am I speaking?
Tom har været alkoholist.	Tom used to be a heavy drinker.
Mary sad klistret til sin telefon.	Mary was glued to her phone.
Jeg ved godt jeg er ikke den kvikkeste pige i verden.	I know I'm not the brightest girl in the world.
Tom sagde at Mary var genert.	Tom said that Mary was shy.
Tom er euroskeptiker.	Tom is a Eurosceptic.
Hvem ejer disse rener?	Who owns these reindeer?
Hun var flot klædt på.	She was dressed to kill.
Jeg tror Tom er tolerant.	I think Tom is broad-minded.
'I dag' er det 'i morgen' vi bekymrede os om i går.	Today is the tomorrow we worried about yesterday.
Det vil ikke blive et problem overhovedet.	It's not going to be a problem at all.
Jeg har spurgt alle hvad det var.	I asked everyone what that was.
Tom er Marys elsker.	Tom is Mary's lover.
Skrub af!	Take a hike!
Nu er du en kvinde, og jeg har ingen ret til at beholde dig her. Du må vende tilbage til menneskenes verden hvor glæden venter dig.	Now you are a woman, and I have no right to keep you here. You must return to the world of men, where joy awaits you.
Dette kraftværk alene forsyner flere byer med elektricitet.	This power station alone provides several cities with electricity.
Tom stemmer.	Tom is voting.
Jeg er ikke dum.	I am not stupid.
Jeg vil ikke miste denne paraply.	I don't want to lose this umbrella.
Er det Tom der kommer gående hen mod os?	Is that Tom walking toward us?
Mary forklarede Tom at joken beroede på en tvetydighed.	Mary explained to Tom that the joke relied on a double entendre.
Det er en meget dyr smarttelefon.	It's a very expensive smartphone.
Jeg er irsk, men jeg taler ikke irsk.	I'm Irish, but I don't speak Irish.
Kig på himlen.	Look at the sky.
For at gøre en lang historie kort, vi giftede os.	To make a long story short, we married.
Jeg går til skolen til fods.	I go to school on foot.
Hvordan var din første nat i Boston?	How was your first night in Boston?
Min far lytter til klassisk musik.	My father listens to classical music.
Jeg kender dig næsten ikke.	I barely know you.
Det har været en anstrengende dag i dag.	Today was a tiring day.
Du har mistet din paraply.	You've lost your umbrella.
De bekymrer sig kun om sig selv.	They only care about themselves.
Fredstraktaten bliver underskrevet i morgen.	The peace treaty will be signed tomorrow.
Jeg bad Tom om at lave te.	I asked Tom to make tea.
Jeg troede du var lovet til Mary.	I thought you were promised to Mary.
Jeg stemte ikke.	I didn't vote.
De luftede deres hunde.	They walked their dogs.
Begge hunde sover.	Both dogs are asleep.
I er et problem.	You guys are a problem.
Han reparerede uret for mig.	He fixed the watch for me.
Bilen havarerede efter en halv times kørsel.	The car broke down after half an hour's driving.
Tom er god til fransk.	Tom is good at French.
Det tror jeg også.	I think so, too.
Tom betaler normalt alt med kontanter.	Tom usually pays for everything in cash.
Skod dine cigaretter.	Put out your cigarettes.
Lad os hvile her til Tom indhenter os.	Let's rest here until Tom catches up with us.
Har I dræbt ham?	Did you kill him?
Jeg har højt blodtryk.	I have high blood pressure.
Hvad er størst, Solen eller Jorden?	Which is larger, the sun or the earth?
Jeg har en.	I have one.
Hvad fik du?	What did you get?
Tag chancen!	Take a chance!
Jeg har en trailer.	I have a trailer.
Hvad får jeg ud af det?	What's in it for me?
Hvad er den længste bro i Algeriet?	What's the longest bridge in Algeria?
Du har vand.	You have water.
Der er intet der er værd at se på TV i dag.	There's nothing worth watching on TV today.
Sami købte og solgte biler.	Sami was buying and selling cars.
Alle borgere skulle respektere loven.	All citizens should respect the law.
Det har jeg aldrig sagt.	I've never said that.
Dette skilt siger: "Fodr ikke dyrene!"	This sign says: "Don't feed the animals!"
Hvorfor har kaniner lange ører?	Why do rabbits have long ears?
Min fiasko svækkede ikke min selvtillid.	My failure did not weaken my self-confidence.
Hvad er mindstelønnen i Jamaica?	What's the minimum salary in Jamaica?
Der er lidt sukker i posen.	There is a little sugar in the bag.
Muslimerne kalder Jesus "Issa."	The Muslims call Jesus "Issa."
Jeg spiser kød.	I eat meat.
Hvor er mine solbriller?	Where are my sunglasses?
Tom var i Tyskland i et år.	Tom spent a year in Germany.
Jeg spiller guitar.	I play the guitar.
Hvad skal jeg gøre nu?	What should I do next?
Der er seks fisk inde i konservesdåsen.	There are six fish inside the tin can.
Vi har masser af tid.	We have a lot of time.
Mor, kan du læse mig en godnathistorie?	Mom, could you read me a bedtime story?
Hvis muslinger er disse?	Whose mussels are these?
Vi havde en aftale. Du brød den.	We had an agreement. You broke it.
Abraham Lincolm er en berømt person.	Abraham Lincoln is a famous person.
Jeg vidste ikke hvad jeg skulle gøre.	I didn't know what I was supposed to do.
Put det i en papirspose.	Put it into a paper bag.
Han ved ikke hvad det vil sige at være fattig.	He doesn't know what it is to be poor.
Jeg hedder Mary. Hvad hedder du?	My name is Mary, what's yours?
I skylder mig 1000 dollar.	You owe me $1,000.
To gange to er fire.	Twice two is equal to four.
Vand blomsterne før du spiser morgenmad.	Water the flowers before you eat breakfast.
Tom blev skudt med strømpistol.	Tom was tasered.
Jeg er i lufthavnen nu.	I'm at the airport now.
Tom er en af jeres venner, er han ikke?	Tom is a friend of yours, isn't he?
Har du nogen franske aviser?	Do you have any French newspapers?
Jeg kan ikke tage tilbage til Australien. Dér er jeg eftersøgt af politiet.	I can't go back to Australia. I'm wanted by the police there.
Min solskoldning gør ondt.	My sunburn hurts.
Dette er en eksempelsætning.	This is an example sentence.
De er iblandt os!	They are among us!
Tom ser træt ud i dag.	Tom looks tired today.
Tom mistede hurtigt interessen.	Tom quickly lost interest.
Tom lider af multipel sklerose.	Tom suffers from multiple sclerosis.
Tom blev læge.	Tom became a doctor.
Du er en gavstrik, Tom.	You're a rogue, Tom.
Hvor skal du hen?	Where are you going?
Er du på Facebook?	Can I find you on Facebook?
Hvordan kan jeg gøre dig gladere?	How can I make you happier?
Tom vidste ikke hvor det var.	Tom didn't know where it was.
Stoppede du for rødt?	Did you stop at the red light?
Sko, tøfler og sandaler er fodtøj.	Shoes, slippers, and sandals are footwear.
Han er næsten seks fod høj.	He's almost six feet in height.
Den afrikanske elefant har større ører end den asiatiske elefant.	The African elephant has bigger ears than the Asian elephant.
Jeg har fået nok af dig.	I've had enough of you.
Afbrudt samleje beskytter ikke mod kønssygdomme.	Coitus interruptus does not protect against STDs.
Kan du tvinge dig selv til at sove?	Can you will yourself to fall asleep?
Giv mig tre måneder.	Give me three months.
Nej, Tom, jeg vil ikke gifte mig med dig!	No, Tom, I will not marry you!
Har du været væk?	Have you been away?
Hvorfor ville du til Armenien?	Why did you want to go to Armenia?
Jeg bor i Nordsverige.	I live in northern Sweden.
Jeg er ked af det, men du kan ikke gifte dig med Susan.	I'm sorry, but you can't marry Susan.
Min favoritsangerinde er Kylie Minogue.	My favorite singer is Kylie Minogue.
Jeg kan ikke huske hvor jeg har købt den.	I can't remember where I bought it.
Det vil ske snart.	It'll happen soon.
Mary sendte sit billede til Tom.	Mary sent her picture to Tom.
Hun er slave af mode.	She is a slave of fashion.
Hvilket land er du fra?	What country are you from?
I kan ikke begge have ret.	You can't both be right.
Jeg kører over den bro hver eftermiddag på vej hjem fra arbejde.	I drive across that bridge every afternoon on my way home from work.
Vi er ikke venner; vi er bare kollegaer.	We're not friends, we're just coworkers.
Tom arbejder altid.	Tom is always working.
Tom er god til at efterligne Mary.	Tom is good at imitating Mary.
Send Tom op.	Send Tom up.
Han ønskede ikke at sælge sin bil.	He didn't want to sell his car.
Hun har malet en mur.	She painted a wall.
Jeg har mistet min nøgle.	I've lost my key.
Har I nogen sightseeingture til byens seværdigheder?	Do you have any sightseeing tours of this town?
Toms egern var klædt ud.	Tom's squirrel wore a costume.
Det er min hustru.	That's my wife.
Tom gjorde intet forsøg på at besvare spørgsmålet.	Tom made no attempt to answer the question.
Jeg sidder lige nu og drikker en øl.	I'm drinking a beer right now.
Jeg har levet af kartoffelchips i mere end tre år.	I've been living on potato chips for more than three years.
Du skriver bedre end jeg gør.	You write better than I do.
Koen forsyner os med mælk.	The cow supplies us with milk.
Hun lagde sit strikketøj til side og rejste sig.	She put her knitting aside and stood up.
Det er blæsevejr nu.	It's now windy.
Min bedstefar var overtroisk.	My grandfather was superstitious.
Den kemiske formel for vand er H₂O.	The chemical formula for water is H₂O.
Det er som om der er noget mærkeligt med den dreng.	There seems to be something peculiar about the boy.
Det er for dyrt.	It's too expensive.
"Er hun ung?" "Ja, det er hun."	"Is she young?" "Yes, she is."
Tom elskede æbler da han var barn.	Tom loved apples when he was a kid.
Hun snød mig.	She tricked me.
Man siger at vikingerne opdagede Amerika før Columbus.	It is said that the Vikings preceded Columbus in discovering America.
Han taler kurdisk.	He speaks Kurdish.
Jeg har et hjerte.	I have a heart.
Tom var et fjols.	Tom was a jerk.
Tom købte en avis og læste den i toget på vej til arbejdet.	Tom bought a newspaper and read it on the train on the way to work.
Ser du faderen og moderen?	Do you see the father and the mother?
Han giftede sig med en stewardesse.	He married a stewardess.
Jeg kan skrive 50 ord i minuttet.	I can type 50 words a minute.
Han er FBI-agent.	He is an FBI agent.
Hun lever under fattige kår.	She lives in poor circumstances.
Tom fortalte mig at han ikke ønskede at komme hjem tomhændet.	Tom told me that he didn't want to come home empty-handed.
Tom er skruppelløs.	Tom is unscrupulous.
Jeg vil gerne have en øl til?	Could you get me another beer?
Din kost vil virkelig blive uafbalanceret, hvis det eneste du spiser er hamburgere.	Your diet is going to be really unbalanced if all you eat is hamburgers.
Jeg tager oftere til Bruxelles end til Paris.	I more often go to Brussels than Paris.
Synes du at der er for meget vold i film?	Do you think there's too much violence in movies?
På dette hotel serveres der morgenmad fra syv til ti.	In this hotel breakfast is served from 7:00 A.M. to 10:00 A.M.
Han har en stor gård i Colorado.	He has a large farm in Colorado.
Geden spiste af hendes hånd.	The goat ate from her hand.
Vi tror på jer.	We believe in you.
Jeg troede at du var Toms ven.	I thought you were Tom's friend.
Tom ser på hende uden at sige noget.	Tom looks at her without saying anything.
Jeg tager til Osaka station.	I am going to Osaka station.
Jeg beklager, men sådan er det bare.	I'm sorry, but that's just the way it is.
Jeg har ondt af dem, der ikke kan lide ham.	I feel sorry for whoever doesn't like him.
Du kan få denne bog gratis.	You can have this book for nothing.
Butikken lukker klokken syv.	The shop closes at seven.
Tom forlod værelset.	Tom left the room.
Tom overtræder hele tiden copyrightlove.	Tom always violates copyright laws.
Den dovne mand forsømmer tit sine pligter.	The lazy man frequently neglects his duties.
Det skal du få betalt.	I'll make you pay for this.
Han kan lide at se TV.	He likes watching TV.
Hvad kom først: ægget eller hønen?	What came first: the egg or the chicken?
Jeg ringer til dem i morgen når jeg kommer hjem.	I'll phone them tomorrow when I come home.
Jeg er klar til at betjene dig.	I am ready to serve you.
I går købte hun grøntsager.	She bought vegetables yesterday.
Århus, Danmarks næststørste by, har postnummeret 8000.	Aarhus, the second-largest city in Denmark, has the zip code 8000.
Luk vinduer og døre!	Please close the windows and doors!
Jeg kommer fra Danmark.	I'm from Denmark.
Det er min jakke.	That's my jacket.
Kul, trækul, koks og petrokoks bruges som brændsler.	Coal, charcoal, coal coke and petroleum coke are used as fuels.
Det er en simpel opgave.	It's a simple job.
Regner det nu?	Is it raining now?
Han gav hende en bog.	He gave her a book.
Tom er bange.	Tom's afraid.
Hun fik foretaget en abort.	She had an abortion.
Jeg føler mig ikke helt på toppen.	I am not feeling quite up to par.
I hvilken retning er han taget hen?	In which direction did he go?
De behøver ikke betale noget.	They don't have to pay anything.
Tom sagde at du ville komme.	Tom said you'd come.
Jeg elsker dig som du er.	I love you the way you are.
Jeg har trænet min hund til at hente avisen om morgenen.	I trained my dog to bring me the newspaper in the morning.
Jeg giver mit ord på det.	I give my word.
Der er for mange af dem.	There are too many of them.
Hvor mange gange er Tom blevet skilt?	How many times has Tom been divorced?
De kan heller ikke høre mig.	They can't hear me either.
Træneren gav ham nogle gode råd.	The coach gave him some good advice.
Tom ligger med ansigtet nedad i sengen.	Tom is lying face down on the bed.
Jeg tager toget på arbejde hver dag.	I take the train to work every day.
Hvor skrækkeligt!	How horrible!
Læser du stadig bøger?	Do you still read books?
Tom har ikke drukket kaffe.	Tom didn't drink coffee.
Tom har stadig ikke mødt Mary.	Tom still hasn't met Mary.
Din drøm går i opfyldelse en dag.	Your dream will come true some day.
Vi mødes der.	We'll meet there.
Vagten troede de lavede sjov indtil han så deres pistoler.	The guard thought they were joking until he saw their guns.
Tom sidder og læser biblen.	Tom is reading the Bible.
En kat er ikke et menneske.	A cat is not a human being!
Og hvad nu?	And now what?
Mary luftede sine hunde hver morgen.	Mary walked her dogs every morning.
Tom elsker at danse og synge.	Tom loves to dance and sing.
Han er taxichauffør.	He is a cab driver.
Få ham ud herfra!	Get him out of here!
Det var forudsigeligt.	That was predictable.
Hvorfor gør du det?	Why are you doing this?
Hvad er dine planer for julen?	What are your plans for Christmas?
Vi bor ikke i lande, vi bor i vore sprog. Det er dit hjem, der og ingen andre steder.	We don't live in countries, we live in our languages. That is your home, there and nowhere else.
Du ikke ryge.	Stop smoking.
En mand vælger; en slave adlyder.	A man chooses; a slave obeys.
Kunne jeg få din autograf?	Could I get your autograph?
Kysser du mig?	Are you going to kiss me?
Hun gifter sig nok en dag.	She will probably marry one day.
Jeg bliver hjulpet.	I'm being helped.
Drengen som står derovre er min søn.	The boy standing over there is my son.
Ved du hvor dine børn er?	Do you know where your children are?
Klokken er næsten seks.	It's almost six o'clock.
Det er meget sandsynligt at FIFA er bundråddent.	It's quite likely that FIFA is rotten to the core.
Aber er intelligente.	Apes are intelligent.
Hvor mange slags grønsager dyrker du i din have?	How many kinds of vegetables do you grow in your garden?
Hvad er hvidvaskning helt præcist?	What exactly is money laundering?
I er alle unyttige.	You all are useless.
Mine penge blev stjålet.	I had my money stolen.
Vi skiftedes til at køre.	We took turns driving.
Rævestregerne på Wall Street har sendt økonomien i frit fald.	The shenanigans on Wall Street have sent the economy into a tailspin.
Enken led af mavekræft.	The widow suffered from stomach cancer.
Forurening er et voksende problem.	Pollution is a growing problem.
Han vil komme til festen.	He will be coming to the party.
Jeg talte kun tysk.	I was speaking only German.
Jeg kan gentage det igen og igen.	I can repeat it again and again.
Jeg er en munk.	I am a monk.
Jeg ved ikke længere hvad jeg skal tro.	I don't know what to believe anymore.
Er dette ikke imod reglerne?	Isn't this against the rules?
Jeg sendte det til Dem for to dage siden.	I sent it to you two days ago.
Vi ses!	See you later!
Tom forelskede sig i Tyskland.	Tom fell in love in Germany.
Markerne lå dækkede af et tykt lag sne.	The fields lay covered with deep snow.
Katten sover på bordet.	The cat sleeps on the table.
Han bankede på døren.	He knocked at the door.
De smilte.	They smiled.
Jeg kender hans navn.	I know his name.
Artiklen var skrevet på fransk.	The article was written in French.
Jeg er så misundelig over dine skålformede bryster.	I'm so jealous of your bowl-shaped boobs.
Hun skrev et brev.	She wrote a letter.
Kig på mig og gør ligesådan.	Look on me, and do likewise.
Ved du hvem der dræbte Tom?	Do you know who killed Tom?
Uden luft ville vi dø.	Without air we would die.
Jeg drikker aldrig.	I never drink.
Jeg vil gerne have dig til at vente på mig.	I want you to wait for me.
Jeg har en overraskelse til dig.	I've got a surprise for you.
Tom spurgte Mary om hvordan vejret havde været mens han var væk.	Tom asked Mary what the weather had been like while he was away.
Han var i Frankrig.	He was in France.
Denne telefon er i uorden.	This telephone is out of order.
Betjentene smed tåregasgranater ind i bygningen.	The cops threw tear-gas bombs into the building.
Den sorte hund dér kigger på den hvide kat dér.	That black dog is looking at that white cat.
Dit ønske vil gå i opfyldelse i nær fremtid.	Your wish will come true in the near future.
USA og Cuba er indstillet til at reparere deres forhold efter et halvt århundredes fjendskab.	The USA and Cuba are set to mend their relationship after half a century of hostilities.
Alle døre i huset er låst.	Every door in the house is locked.
En øl til mig, tak!	A beer for me, please!
Uden penge kan man ikke overleve.	One cannot survive without money.
Jeg ved at du tidligere har boet i Boston.	I know you used to live in Boston.
Vi tror ikke Tom har slået Mary ihjel.	We don't think Tom killed Mary.
Goddag, frue.	Hello, ma'am.
Vi har ingen grund til at skamme os.	We have no reason to feel ashamed.
Hvilken hus kan du bedst lide?	What house do you like more?
Hun bliver smukkere dag for dag.	She gets prettier day by day.
Udslet dem!	Obliterate them!
Hvordan skrev du dit navn på arabisk?	How did you write your name in Arabic?
Jeg burde have fulgt lægens råd.	I should have taken the doctor's advice.
Jeg vil gerne vide hvorfor mit navn blev slettet fra listen.	I'd like to know why my name was deleted from the list.
"Tak for hjælpen." "Ingen årsag."	"Thanks for the help." "Don't mention it."
Vi gav hinanden hånden.	We shook hands.
Mary blev forelsket i en smuk gondoliere.	Mary fell in love with a handsome gondolier.
Et søkabel blev lagt mellem de to lande.	A submarine cable was laid between the two countries.
Tom bar Mary ind i huset.	Tom carried Mary into the house.
Hvad er der i strandtasken der er i bagagerummet på din bil?	What's in the beach bag that's in the trunk of your car?
Situationen er meget værre end hvad vi oprindeligt troede.	The situation is much worse than we originally thought.
Du kan tro på ham.	You can believe him.
Nu har jeg fortalt dig alt. Men jeg har fået en eftertanke. Vil du gerne høre den?	Now I've told you everything. But I've got an afterthought. Would you like to hear it?
Joshua er homoseksuel.	Joshua is gay.
Tom kom for sent til det sidste tog og måtte tage en taxi hjem.	Tom missed the last train and had to take a taxi home.
Hvad gør du når du bliver syg?	What do you do when you get sick?
Min mor beklager sig altid over mig.	My mother is always complaining about me.
Det er en is.	It's an ice cream.
Da det skete, var min bedstemor ikke hjemme.	As it happened, my grandmother was not at home.
Hendes reaktion var ikke overraskende overhovedet.	Her reaction wasn't surprising at all.
Det var til at forudse.	That was predictable.
De fortsatte med at drikke.	They kept drinking.
Det er ved at blive mørkt. Du må hellere gå hjem.	It's getting dark. You'd better go home.
Skriver du poesi?	Do you write poetry?
Det styrtregnede.	It rained cats and dogs.
Enhver har ret til beskyttelse af de moralske og materielle interesser, der hidrører fra en hvilken som helst videnskabelig, litterær eller kunstnerisk frembringelse, som vedkommende har skabt.	Everyone has the right to the protection of the moral and material interests resulting from any scientific, literary or artistic production of which he is the author.
Jeg har et æg.	I have an egg.
Fulgte nogen efter dig?	Did anyone follow you?
Hvad håber du at finde her?	What do you hope to find here?
Det er bedre at vente til politiet ankommer.	It's better to wait until the police arrive.
Den Persiske Golf er beliggende mellem Iran (Persien) og Den Arabiske Halvø.	The Persian Gulf is located between Iran (Persia) and the Arabian Peninsula.
Han gik tur med sine tre hunde hver dag.	He walked his three dogs every day.
Toget var forsinket her til morgen.	The train was late this morning.
Det er en meget almindelig fejltagelse.	That's a very common mistake.
Jeg er ikke Toms far.	I'm not Tom's father.
Kig, kig!	Look, look!
Du havde ret.	You were right.
Han sidder og læser en avis.	He's reading a newspaper.
Tom kunne ikke sine linjer.	Tom didn't know his lines.
Vil du have en kop te mere?	Would you like another cup of tea?
Det tror jeg.	I think so.
Jorden er under angreb fra rumvæsner.	The Earth is under attack by alien invaders.
Jeg kan virkelig godt lide denne restaurant.	I really like this restaurant.
Hvis jeg var dig, ville jeg følge ham til verdens ende.	If I were you, I would follow him to the end of the world.
Kvinden spiser brød.	The woman eats bread.
Jeg kan ikke li' at studere.	I don't like studying.
Vi får færre og færre studerende.	We're getting fewer and fewer students.
Tom er udenfor.	Tom's outside.
Han døde inden ambulancen kom.	He died before the ambulance arrived.
Det er ikke engang et problem.	That is not even a problem.
De vasker hænderne.	They're washing their hands.
Selvfølgelig kan hun tale engelsk.	Of course she can speak English.
Den her hotel er bedre end den der hotel.	This hotel is better than that hotel.
Glem ikke din billet.	Don't forget your ticket.
Jeg havde også en dårlig hukommelse.	I also have a bad memory.
Layla lejede en SUV.	Layla rented an SUV.
Toms mor er cool.	Tom's mom is cool.
Den flod løber ud i Stillehavet.	The river flows into the Pacific Ocean.
Jeg har en overraskelse til dig, skat.	I have a surprise for you, sweetheart.
